id,title,release_year,country,duration,language,certification,gross,budget
53,Singin' in the Rain,1952,USA,103,English,Approved,NA,2540800.0
54,The Greatest Show on Earth,1952,USA,152,English,Not Rated,36000000,4e6
55,From Here to Eternity,1953,USA,118,English,Not Rated,NA,165e4
56,Niagara,1953,USA,92,English,Approved,NA,125e4
57,"The Beast from 20,000 Fathoms",1953,USA,80,English,Approved,5000000,21e4
58,The Robe,1953,USA,135,English,Unrated,36000000,5e6
59,"20,000 Leagues Under the Sea",1954,USA,127,English,Approved,NA,5e6
60,"20,000 Leagues Under the Sea",1954,USA,127,English,Approved,NA,5e6
61,On the Waterfront,1954,USA,108,English,Not Rated,9600000,91e4
62,Seven Samurai,1954,Japan,202,Japanese,Unrated,269061,2e6
63,The Egyptian,1954,USA,139,English,Approved,NA,5e6
64,Ordet,1955,Denmark,126,Danish,Not Rated,NA,NA
65,The Trouble with Harry,1955,USA,99,English,Approved,NA,12e5
66,Love Me Tender,1956,USA,89,English,NA,NA,1e6
67,Moby Dick,1956,USA,115,English,Unrated,NA,45e5
68,Trapeze,1956,USA,105,English,Approved,NA,4e6
69,12 Angry Men,1957,USA,96,English,Not Rated,NA,35e4
70,The Bridge on the River Kwai,1957,UK,161,English,PG,27200000,3e6
71,Cat on a Hot Tin Roof,1958,USA,108,English,Approved,NA,3e6
72,Solomon and Sheba,1959,USA,141,English,NA,NA,5e6
73,Some Like It Hot,1959,USA,120,English,Not Rated,25000000,2883848.0
74,The Nun's Story,1959,USA,149,English,Not Rated,NA,35e5
75,Elmer Gantry,1960,USA,146,English,Approved,NA,3e6
76,Psycho,1960,USA,108,English,R,32000000,806947.0
77,The Apartment,1960,USA,125,English,Approved,NA,3e6
78,Judgment at Nuremberg,1961,USA,186,English,Not Rated,NA,3e6
79,Pocketful of Miracles,1961,USA,136,English,Approved,NA,29e5
80,The Hustler,1961,USA,134,English,Unrated,NA,2e6
81,The Misfits,1961,USA,120,English,Approved,NA,4e6
82,West Side Story,1961,USA,152,English,Unrated,43650000,6e6
83,Dr. No,1962,UK,110,English,Approved,16067035,11e5
84,Lawrence of Arabia,1962,UK,227,English,PG,6000000,15e6
85,Lolita,1962,UK,152,English,Not Rated,NA,2e6
86,Lolita,1962,UK,152,English,Not Rated,NA,2e6
87,The Brain That Wouldn't Die,1962,USA,70,English,Approved,NA,62e3
88,The Longest Day,1962,USA,178,English,G,NA,1e7
89,The Man Who Shot Liberty Valance,1962,USA,113,English,Approved,NA,32e5
90,To Kill a Mockingbird,1962,USA,129,English,Not Rated,NA,2e6
91,55 Days at Peking,1963,USA,154,English,Unrated,NA,9e6
92,Cleopatra,1963,UK,251,English,Approved,57750000,31115e3
93,Donovan's Reef,1963,USA,109,English,Not Rated,NA,2686585.0
94,From Russia with Love,1963,UK,115,English,Approved,24800000,2e6
95,Hud,1963,USA,112,English,Approved,NA,25e5
96,"It's a Mad, Mad, Mad, Mad World",1963,USA,197,English,Approved,46300000,94e5
97,The Great Escape,1963,USA,172,English,Approved,NA,4e6
98,Tom Jones,1963,UK,121,English,Unrated,NA,1e6
99,A Fistful of Dollars,1964,Italy,99,Italian,R,3500000,2e5
100,A Hard Day's Night,1964,UK,87,English,Approved,515005,56e4
101,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,USA,95,English,PG,NA,18e5
102,Goldfinger,1964,UK,110,English,Approved,51100000,3e6
103,Mary Poppins,1964,USA,139,English,Approved,102300000,6e6
104,My Fair Lady,1964,USA,170,English,Approved,72000000,17e6
105,Nothing But a Man,1964,USA,95,English,Not Rated,12438,16e4
106,The Fall of the Roman Empire,1964,USA,172,English,Approved,NA,19e6
107,The Train,1964,France,133,English,Unrated,NA,67e5
108,Une Femme Mariée,1964,France,94,French,NA,NA,12e4
109,Doctor Zhivago,1965,USA,200,English,PG-13,111722000,11e6
110,Major Dundee,1965,USA,152,English,Approved,14873,38e5
111,Pierrot le Fou,1965,France,110,French,Not Rated,NA,3e5
112,The Greatest Story Ever Told,1965,USA,225,English,G,8000000,2e7
113,The Party's Over,1965,UK,94,English,NA,NA,NA
114,The Sound of Music,1965,USA,174,English,G,163214286,82e5
115,Thunderball,1965,UK,130,English,Approved,63600000,9e6
116,A Funny Thing Happened on the Way to the Forum,1966,USA,99,English,Approved,NA,2e6
117,A Man for All Seasons,1966,UK,120,English,Approved,NA,2e6
118,Batman: The Movie,1966,USA,105,English,Approved,NA,1377800.0
119,Harper,1966,USA,121,English,Not Rated,NA,35e5
120,"The Good, the Bad and the Ugly",1966,Italy,142,Italian,Approved,6100000,12e5
121,Torn Curtain,1966,USA,128,English,Approved,NA,6e6
122,In Cold Blood,1967,USA,134,English,Approved,NA,35e5
123,Point Blank,1967,USA,92,English,Approved,NA,3e6
124,The Torture Chamber of Dr. Sadism,1967,West Germany,80,German,M,NA,NA
125,You Only Live Twice,1967,UK,117,English,Approved,43100000,95e5
126,2001: A Space Odyssey,1968,UK,161,English,G,56715371,12e6
127,Barbarella,1968,France,98,English,PG,NA,9e6
128,Charly,1968,USA,103,English,PG,NA,NA
129,Hang 'Em High,1968,USA,114,English,M,NA,18e5
130,Night of the Living Dead,1968,USA,96,English,Unrated,NA,114e3
131,Night of the Living Dead,1968,USA,96,English,Unrated,NA,114e3
132,Oliver!,1968,UK,153,English,G,16800000,1e7
133,Once Upon a Time in the West,1968,Italy,145,English,PG-13,NA,5e6
134,Rosemary's Baby,1968,USA,136,English,R,NA,23e5
135,Shalako,1968,UK,113,English,PG,NA,1455e3
136,"Yours, Mine and Ours",1968,USA,111,English,Unrated,NA,25e5
137,Butch Cassidy and the Sundance Kid,1969,USA,110,English,M,102308900,6e6
138,Machine Gun McCain,1969,Italy,96,English,GP,NA,NA
139,Midnight Cowboy,1969,USA,113,English,X,NA,36e5
140,Mississippi Mermaid,1969,France,123,French,R,26893,16e5
141,On Her Majesty's Secret Service,1969,UK,142,English,M,22800000,7e6
142,Paint Your Wagon,1969,USA,158,English,PG-13,NA,2e7
143,Sweet Charity,1969,USA,154,English,G,NA,2e7
144,The Stewardesses,1969,USA,93,English,X,NA,1e5
145,The Wild Bunch,1969,USA,144,English,R,NA,6244087.0
146,Topaz,1969,USA,127,English,M,NA,4e6
147,Beneath the Planet of the Apes,1970,USA,95,English,G,NA,3e6
148,Beyond the Valley of the Dolls,1970,USA,109,English,X,9000000,9e5
149,Catch-22,1970,USA,122,English,R,NA,18e6
150,Cotton Comes to Harlem,1970,USA,97,English,R,NA,12e5
151,Darling Lili,1970,USA,143,English,G,5000000,25e6
152,Patton,1970,USA,172,English,GP,NA,12e6
153,The Ballad of Cable Hogue,1970,USA,121,English,R,NA,3716946.0
154,The Conformist,1970,Italy,106,Italian,R,NA,75e4
155,The Molly Maguires,1970,USA,124,English,PG,NA,11e6
156,Tora! Tora! Tora!,1970,Japan,160,English,G,14500000,25e6
157,Waterloo,1970,Italy,134,English,G,NA,25e6
158,Woodstock,1970,USA,215,English,R,13300000,6e5
159,Bananas,1971,USA,82,English,GP,NA,2e6
160,Diamonds Are Forever,1971,UK,120,English,GP,43800000,72e5
161,Escape from the Planet of the Apes,1971,USA,98,English,G,NA,25e5
162,Fiddler on the Roof,1971,USA,181,English,G,50000000,9e6
163,Pink Narcissus,1971,USA,65,English,Not Rated,8231,27e3
164,Sweet Sweetback's Baadasssss Song,1971,USA,97,English,R,15180000,5e5
165,The Andromeda Strain,1971,USA,115,English,G,NA,65e5
166,The French Connection,1971,USA,104,English,R,NA,18e5
167,The French Connection,1971,USA,104,English,R,NA,18e5
168,The Night Visitor,1971,USA,106,English,GP,NA,NA
169,Willy Wonka & the Chocolate Factory,1971,USA,89,English,G,NA,3e6
170,1776,1972,USA,168,English,PG,NA,4e6
171,Conquest of the Planet of the Apes,1972,USA,88,English,PG,NA,17e5
172,Cries & Whispers,1972,Sweden,91,Swedish,R,NA,4e5
173,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,USA,88,English,R,NA,2e6
174,Frenzy,1972,UK,116,English,R,NA,2e6
175,Pink Flamingos,1972,USA,108,English,NC-17,180483,1e4
176,Silent Running,1972,USA,89,English,GP,NA,1e6
177,Solaris,1972,Soviet Union,115,Russian,PG,NA,1e6
178,The Godfather,1972,USA,175,English,R,134821952,6e6
179,American Graffiti,1973,USA,112,English,PG,115000000,777e3
180,Battle for the Planet of the Apes,1973,USA,96,English,G,NA,18e5
181,High Plains Drifter,1973,USA,105,English,R,NA,55e5
182,Live and Let Die,1973,UK,121,English,PG,35400000,7e6
183,Mean Streets,1973,USA,112,English,R,32645,5e5
184,Pat Garrett & Billy the Kid,1973,USA,106,English,R,NA,4638783.0
185,Sleeper,1973,USA,89,English,PG,NA,2e6
186,The Exorcist,1973,USA,132,English,R,204565000,8e6
187,The Sting,1973,USA,129,English,PG,159600000,55e5
188,Benji,1974,USA,86,English,G,39552600,5e5
189,Blazing Saddles,1974,USA,93,English,R,119500000,26e5
190,The Conversation,1974,USA,113,English,PG,NA,16e5
191,The Front Page,1974,USA,105,English,PG,NA,4e6
192,The Godfather: Part II,1974,USA,220,English,R,57300000,13e6
193,The Man with the Golden Gun,1974,UK,125,English,PG,21000000,13e6
194,The Texas Chain Saw Massacre,1974,USA,88,English,R,30859000,83532.0
195,The Texas Chain Saw Massacre,1974,USA,88,English,R,30859000,83532.0
196,Young Frankenstein,1974,USA,106,English,PG,86300000,28e5
197,Barry Lyndon,1975,UK,184,English,PG,NA,11e6
198,Death Race 2000,1975,USA,80,English,R,NA,3e5
199,Jaws,1975,USA,130,English,PG,260000000,8e6
200,Monty Python and the Holy Grail,1975,UK,91,English,PG,1229197,229575.0
201,One Flew Over the Cuckoo's Nest,1975,USA,133,English,R,112000000,44e5
202,The Return of the Pink Panther,1975,UK,113,English,G,NA,5e6
203,Family Plot,1976,USA,120,English,PG,NA,4490375.0
204,Logan's Run,1976,USA,119,English,PG,25000000,9e6
205,Network,1976,USA,121,English,R,NA,38e5
206,Robin and Marian,1976,USA,106,English,PG,NA,5e6
207,Rocky,1976,USA,145,English,PG,117235247,96e4
208,Silent Movie,1976,USA,87,NA,PG,NA,44e5
209,Taxi Driver,1976,USA,110,English,R,NA,13e5
210,The Bad News Bears,1976,USA,102,English,PG,NA,NA
211,The Omen,1976,UK,107,English,R,NA,28e5
212,The Omen,1976,UK,107,English,R,NA,28e5
213,A Bridge Too Far,1977,USA,175,English,PG,50800000,26e6
214,Annie Hall,1977,USA,93,English,PG,39200000,4e6
215,Capricorn One,1977,USA,130,English,PG,NA,5e6
216,Close Encounters of the Third Kind,1977,USA,135,English,PG,128300000,19400870.0
217,Damnation Alley,1977,USA,91,English,PG,NA,17e6
218,Eraserhead,1977,USA,89,English,Unrated,NA,2e4
219,Exorcist II: The Heretic,1977,USA,118,English,R,NA,14e6
220,High Anxiety,1977,USA,94,English,PG,NA,34e5
221,Julia,1977,USA,117,English,PG,NA,784e4
222,Kingdom of the Spiders,1977,USA,97,English,PG,17000000,5e5
223,March or Die,1977,UK,107,English,PG,1000000,9e6
224,"New York, New York",1977,USA,136,English,PG,NA,14e6
225,Sorcerer,1977,USA,92,English,PG,NA,12e6
226,Star Wars: Episode IV - A New Hope,1977,USA,125,English,PG,460935665,11e6
227,The Kentucky Fried Movie,1977,USA,83,English,R,NA,65e4
228,The Spy Who Loved Me,1977,UK,123,English,PG,46800000,14e6
229,Alien Zone,1978,USA,79,English,PG,NA,35e4
230,Animal House,1978,USA,109,English,R,141600000,3e6
231,Caravans,1978,Iran,127,English,PG,1000000,14e6
232,Days of Heaven,1978,USA,94,English,PG,NA,3e6
233,F.I.S.T.,1978,USA,145,English,PG,NA,11e6
234,Force 10 from Navarone,1978,UK,126,English,PG,NA,5e6
235,Grease,1978,USA,110,English,PG-13,181360000,6e6
236,Halloween,1978,USA,101,English,R,47000000,3e5
237,Halloween,1978,USA,101,English,R,47000000,3e5
238,Halloween,1978,USA,101,English,R,47000000,3e5
239,Jaws 2,1978,USA,131,English,PG,102922376,2e7
240,Superman,1978,USA,188,English,PG,134218018,55e6
241,The Boys from Brazil,1978,UK,125,English,R,NA,12e6
242,The Deer Hunter,1978,UK,183,English,R,NA,15e6
243,The Last Waltz,1978,USA,117,English,PG,321952,NA
244,The Wiz,1978,USA,118,English,G,13000000,24e6
245,1941,1979,USA,142,English,PG,NA,35e6
246,Alien,1979,UK,116,English,R,78900000,11e6
247,All That Jazz,1979,USA,123,English,R,NA,NA
248,Apocalypse Now,1979,USA,289,English,R,78800000,315e5
249,Escape from Alcatraz,1979,USA,112,English,PG,36500000,8e6
250,Mad Max,1979,Australia,93,English,R,NA,2e5
251,Meteor,1979,USA,108,English,PG,NA,16e6
252,Moonraker,1979,UK,126,English,PG,62700000,34e6
253,Penitentiary,1979,USA,99,English,R,NA,1e5
254,Prophecy,1979,USA,102,English,PG,NA,12e6
255,Star Trek: The Motion Picture,1979,USA,143,English,PG,82300000,35e6
256,The Black Hole,1979,USA,98,English,PG,NA,2e7
257,The Black Stallion,1979,USA,118,English,G,NA,27e5
258,The Great Train Robbery,1979,UK,110,English,PG,NA,6e6
259,The Muppet Movie,1979,UK,95,English,G,76657000,NA
260,The Rose,1979,USA,125,English,R,29200000,85e5
261,Airplane!,1980,USA,88,English,PG,83400000,35e5
262,Caddyshack,1980,USA,98,English,R,39800000,6e6
263,Can't Stop the Music,1980,USA,124,English,PG,2000000,2e7
264,Coal Miner's Daughter,1980,USA,124,English,PG,79900000,NA
265,Dressed to Kill,1980,USA,104,English,X,31899000,65e5
266,Flash Gordon,1980,UK,111,English,PG,NA,2e7
267,Galaxina,1980,USA,95,English,R,NA,NA
268,Heaven's Gate,1980,USA,325,English,R,1500000,44e6
269,Lion of the Desert,1980,Libya,156,English,PG,NA,35e6
270,Ordinary People,1980,USA,124,English,R,54800000,6e6
271,Out of the Blue,1980,Canada,94,English,R,NA,22e5
272,Private Benjamin,1980,USA,109,English,R,69800000,1e7
273,Raging Bull,1980,USA,121,English,R,45250,18e6
274,Raise the Titanic,1980,UK,119,English,PG,7000000,36e6
275,Somewhere in Time,1980,USA,103,English,PG,NA,51e5
276,Star Wars: Episode V - The Empire Strikes Back,1980,USA,127,English,PG,290158751,18e6
277,Superman II,1980,USA,116,English,PG,108200000,54e6
278,The Blue Lagoon,1980,USA,104,English,R,NA,45e5
279,The Blues Brothers,1980,USA,148,English,R,54200000,27e6
280,The Elephant Man,1980,USA,124,English,PG,NA,5e6
281,The Fog,1980,USA,89,English,R,21378000,1e6
282,The Fog,1980,USA,89,English,R,21378000,1e6
283,The Long Riders,1980,USA,100,English,R,NA,1e7
284,The Shining,1980,USA,146,English,R,NA,19e6
285,Blow Out,1981,USA,107,English,R,NA,18e6
286,Chariots of Fire,1981,UK,125,English,PG,58800000,55e5
287,Das Boot,1981,West Germany,293,German,R,11433134,14e6
288,Dragonslayer,1981,USA,108,English,PG,6000000,18e6
289,Escape from New York,1981,UK,106,English,R,25244700,6e6
290,For Your Eyes Only,1981,UK,127,English,PG,62300000,28e6
291,Friday the 13th Part 2,1981,USA,87,English,R,19100000,125e4
292,Graduation Day,1981,USA,96,English,R,NA,25e4
293,Heartbeeps,1981,USA,78,English,PG,NA,1e7
294,Heavy Metal,1981,Canada,90,English,R,NA,93e5
295,History of the World: Part I,1981,USA,92,English,R,NA,11e6
296,History of the World: Part I,1981,USA,92,English,R,NA,11e6
297,Inchon,1981,South Korea,140,English,PG,NA,48e6
298,Mad Max 2: The Road Warrior,1981,Australia,87,English,R,9003011,2e6
299,Modern Problems,1981,USA,93,English,PG,NA,8e6
300,Mommie Dearest,1981,USA,129,English,R,NA,5e6
301,Nighthawks,1981,USA,99,English,R,NA,5e6
302,Porky's,1981,Canada,94,English,R,105500000,4e6
303,Quest for Fire,1981,Canada,100,None,R,NA,125e5
304,Raiders of the Lost Ark,1981,USA,115,English,PG,242374454,18e6
305,Reds,1981,USA,195,English,PG,NA,35e6
306,Roar,1981,USA,102,English,PG,2000000,17e6
307,Sphinx,1981,USA,118,English,PG,800000,14e6
308,Stripes,1981,USA,117,English,R,85300000,1e7
309,The Beyond,1981,Italy,82,Italian,X,126387,4e5
310,The Evil Dead,1981,USA,96,English,NC-17,NA,375e3
311,The Four Seasons,1981,USA,107,English,PG,NA,NA
312,The Howling,1981,USA,91,English,R,17986000,1e6
313,The Legend of the Lone Ranger,1981,USA,98,English,PG,8000000,18e6
314,The Postman Always Rings Twice,1981,USA,122,English,R,NA,12e6
315,The Pursuit of D.B. Cooper,1981,USA,100,English,PG,NA,12e6
316,Time Bandits,1981,UK,103,English,PG,42365600,5e6
317,Under the Rainbow,1981,USA,98,English,PG,8500000,2e7
318,Blade Runner,1982,USA,117,English,R,27000000,28e6
319,Butterfly,1982,USA,108,English,R,NA,NA
320,Cat People,1982,USA,93,English,R,NA,18e6
321,Cat People,1982,USA,93,English,R,NA,18e6
322,Class of 1984,1982,Canada,98,English,R,NA,43e5
323,Conan the Barbarian,1982,USA,129,English,R,37567440,2e7
324,Conan the Barbarian,1982,USA,129,English,R,37567440,2e7
325,Creepshow,1982,USA,130,English,R,NA,8e6
326,Creepshow,1982,USA,130,English,R,NA,8e6
327,Diner,1982,USA,110,English,R,14100000,5e6
328,E.T. the Extra-Terrestrial,1982,USA,120,English,PG,434949459,105e5
329,Fast Times at Ridgemont High,1982,USA,90,English,X,NA,45e5
330,Firefox,1982,USA,136,English,PG,46700000,21e6
331,First Blood,1982,USA,93,English,R,NA,14e6
332,First Blood,1982,USA,93,English,R,NA,14e6
333,Friday the 13th Part III,1982,USA,91,English,R,36200000,4e6
334,Gandhi,1982,UK,240,English,PG,NA,22e6
335,Halloween III: Season of the Witch,1982,USA,98,English,R,14400000,25e5
336,Jekyll and Hyde... Together Again,1982,USA,87,English,R,NA,5e6
337,Megaforce,1982,USA,99,English,PG,5333658,2e7
338,Poltergeist,1982,USA,120,English,PG,76600000,107e5
339,Poltergeist,1982,USA,120,English,PG,76600000,107e5
340,Star Trek II: The Wrath of Khan,1982,USA,116,English,PG,78900000,11e6
341,The Ballad of Gregorio Cortez,1982,USA,105,English,NA,NA,125e4
342,The Beastmaster,1982,USA,90,English,PG,NA,8e6
343,The Best Little Whorehouse in Texas,1982,USA,114,English,R,69700000,35e6
344,The Man from Snowy River,1982,Australia,102,English,PG,NA,35e5
345,The Thing,1982,USA,109,English,R,13782838,15e6
346,The Verdict,1982,USA,129,English,R,54000000,16e6
347,Tootsie,1982,USA,116,English,PG,177200000,22e6
348,A Christmas Story,1983,USA,94,English,PG,NA,4e6
349,Flashdance,1983,USA,95,English,R,94900000,4e6
350,Gabriela,1983,Brazil,99,Portuguese,R,NA,NA
351,Krull,1983,UK,116,English,PG,NA,27e6
352,Lone Wolf McQuade,1983,USA,107,English,PG,12200000,5e6
353,Losin' It,1983,Canada,100,English,R,NA,7e6
354,Love Letters,1983,USA,88,English,R,NA,55e4
355,National Lampoon's Vacation,1983,USA,98,English,R,61400000,15e6
356,Never Say Never Again,1983,UK,121,English,PG,55500000,36e6
357,Octopussy,1983,UK,131,English,PG,67900000,275e5
358,Scarface,1983,USA,142,English,R,44700000,25e6
359,Star Wars: Episode VI - Return of the Jedi,1983,USA,134,English,PG,309125409,325e5
360,Superman III,1983,UK,125,English,PG,60000000,39e6
361,The Dead Zone,1983,USA,103,English,R,NA,1e7
362,The Outsiders,1983,USA,114,English,PG-13,25600000,1e7
363,The Right Stuff,1983,USA,193,English,PG,21500000,27e6
364,The Wicked Lady,1983,UK,98,English,R,NA,8e6
365,Trading Places,1983,USA,116,English,R,90400000,NA
366,Twilight Zone: The Movie,1983,USA,101,English,PG,29500000,1e7
367,Videodrome,1983,Canada,89,English,R,NA,5952e3
368,WarGames,1983,USA,114,English,PG,79568000,12e6
369,Yentl,1983,UK,132,English,PG,30400000,12e6
370,A Nightmare on Elm Street,1984,USA,101,English,X,26505000,18e5
371,A Nightmare on Elm Street,1984,USA,101,English,X,26505000,18e5
372,A Passage to India,1984,UK,164,English,PG,26400000,16e6
373,Amadeus,1984,USA,180,English,R,51600000,18e6
374,Beverly Hills Cop,1984,USA,105,English,R,234760500,14e6
375,Body Double,1984,USA,114,English,R,NA,1e7
376,C.H.U.D.,1984,USA,96,English,R,NA,125e4
377,Conan the Destroyer,1984,USA,103,English,PG,26400000,18e6
378,Dune,1984,USA,177,English,PG-13,27400000,4e7
379,Firestarter,1984,USA,114,English,R,15100000,15e6
380,Footloose,1984,USA,107,English,PG,80000000,82e5
381,Footloose,1984,USA,107,English,PG,80000000,82e5
382,Friday the 13th: The Final Chapter,1984,USA,97,English,R,32600000,18e5
383,Gremlins,1984,USA,106,English,PG,148170000,11e6
384,Indiana Jones and the Temple of Doom,1984,USA,118,English,PG,179870271,28e6
385,Once Upon a Time in America,1984,Italy,251,English,R,5300000,3e7
386,Police Academy,1984,USA,96,English,R,81200000,45e5
387,Red Dawn,1984,USA,114,English,PG-13,NA,169e5
388,Repo Man,1984,USA,92,English,R,NA,15e5
389,Sheena,1984,UK,117,English,PG,NA,25e6
390,Splash,1984,USA,111,English,PG,69800000,8e6
391,Star Trek III: The Search for Spock,1984,USA,105,English,PG,76400000,17e6
392,The Bounty,1984,UK,132,English,PG,8600000,25e6
393,The Cotton Club,1984,USA,123,English,R,25900000,58e6
394,The Hotel New Hampshire,1984,UK,109,English,R,5100000,75e5
395,The Ice Pirates,1984,USA,91,English,PG,NA,9e6
396,The Karate Kid,1984,USA,126,English,PG,90800000,8e6
397,The Karate Kid,1984,USA,126,English,PG,90800000,8e6
398,The NeverEnding Story,1984,West Germany,94,English,PG,NA,27e6
399,The Terminator,1984,UK,107,English,R,38400000,65e5
400,The Toxic Avenger,1984,USA,91,English,Unrated,NA,475e3
401,A Nightmare on Elm Street 2: Freddy's Revenge,1985,USA,87,English,R,30000000,22e5
402,A Room with a View,1985,UK,117,English,Unrated,20966644,3e6
403,A View to a Kill,1985,UK,131,English,PG,50300000,3e7
404,Back to the Future,1985,USA,116,English,PG,210609762,19e6
405,Brazil,1985,UK,142,English,R,9929000,15e6
406,Commando,1985,USA,75,English,R,NA,1e7
407,Day of the Dead,1985,USA,87,English,Unrated,NA,35e5
408,Day of the Dead,1985,USA,87,English,Unrated,NA,35e5
409,Def-Con 4,1985,Canada,88,English,R,NA,175e4
410,Friday the 13th: A New Beginning,1985,USA,92,English,R,21300000,22e5
411,Invasion U.S.A.,1985,USA,107,English,R,NA,1e7
412,Krush Groove,1985,USA,97,English,R,NA,3e6
413,Ladyhawke,1985,USA,121,English,PG-13,NA,2e7
414,Lifeforce,1985,UK,101,English,R,NA,25e6
415,Mad Max Beyond Thunderdome,1985,Australia,107,English,PG-13,36200000,12305523.0
416,My Beautiful Laundrette,1985,UK,97,English,R,NA,65e4
417,Out of Africa,1985,USA,161,English,PG,87100000,31e6
418,Pale Rider,1985,USA,115,English,R,41400000,69e5
419,Rambo: First Blood Part II,1985,USA,96,English,R,150415432,44e6
420,Red Sonja,1985,Netherlands,89,English,PG-13,NA,179e5
421,Return to Oz,1985,UK,109,English,PG,NA,25e6
422,Silverado,1985,USA,133,English,PG-13,33200000,26e6
423,Subway,1985,France,98,French,R,NA,17e6
424,The Color Purple,1985,USA,154,English,PG-13,94175854,15e6
425,The Last Dragon,1985,USA,109,English,PG-13,33000000,1e7
426,The Return of the Living Dead,1985,USA,108,English,R,NA,4e6
427,The Return of the Living Dead,1985,USA,108,English,R,NA,4e6
428,Witness,1985,USA,112,English,R,65500000,12e6
429,Young Sherlock Holmes,1985,USA,109,English,PG-13,4250320,18e6
430,9½ Weeks,1986,USA,112,English,R,6734844,17e6
431,Aliens,1986,USA,154,English,R,85200000,185e5
432,April Fool's Day,1986,USA,89,English,R,12947763,5e6
433,Big Trouble in Little China,1986,USA,99,English,PG-13,11100000,25e6
434,Crocodile Dundee,1986,Australia,93,English,PG-13,174635000,88e5
435,Highlander,1986,UK,110,English,R,5900000,16e6
436,Howard the Duck,1986,USA,110,English,PG,16295774,35e6
437,Invaders from Mars,1986,USA,100,English,PG,4884663,12e6
438,Jason Lives: Friday the 13th Part VI,1986,USA,86,English,R,19472057,3e6
439,Legal Eagles,1986,USA,116,English,PG,49851591,4e7
440,Little Shop of Horrors,1986,USA,102,English,PG-13,38747385,25e6
