X,year,month,measure,day,value
166,2015,7,Min.Sea.Level.PressureIn,X1,29.68
167,2015,7,Max.VisibilityMiles,X1,10
168,2015,7,Mean.VisibilityMiles,X1,8
169,2015,7,Min.VisibilityMiles,X1,0
170,2015,7,Max.Wind.SpeedMPH,X1,22
171,2015,7,Mean.Wind.SpeedMPH,X1,10
172,2015,7,Max.Gust.SpeedMPH,X1,28
173,2015,7,PrecipitationIn,X1,0.5
174,2015,7,CloudCover,X1,6
175,2015,7,Events,X1,Rain-Thunderstorm
176,2015,7,WindDirDegrees,X1,164
177,2015,8,Max.TemperatureF,X1,90
178,2015,8,Mean.TemperatureF,X1,79
179,2015,8,Min.TemperatureF,X1,68
180,2015,8,Max.Dew.PointF,X1,61
181,2015,8,MeanDew.PointF,X1,58
182,2015,8,Min.DewpointF,X1,55
183,2015,8,Max.Humidity,X1,66
184,2015,8,Mean.Humidity,X1,50
185,2015,8,Min.Humidity,X1,34
186,2015,8,Max.Sea.Level.PressureIn,X1,29.82
187,2015,8,Mean.Sea.Level.PressureIn,X1,29.75
188,2015,8,Min.Sea.Level.PressureIn,X1,29.7
189,2015,8,Max.VisibilityMiles,X1,10
190,2015,8,Mean.VisibilityMiles,X1,10
191,2015,8,Min.VisibilityMiles,X1,10
192,2015,8,Max.Wind.SpeedMPH,X1,26
193,2015,8,Mean.Wind.SpeedMPH,X1,10
194,2015,8,Max.Gust.SpeedMPH,X1,35
195,2015,8,PrecipitationIn,X1,T
196,2015,8,CloudCover,X1,3
197,2015,8,Events,X1,Rain
198,2015,8,WindDirDegrees,X1,251
199,2015,9,Max.TemperatureF,X1,79
200,2015,9,Mean.TemperatureF,X1,74
201,2015,9,Min.TemperatureF,X1,69
202,2015,9,Max.Dew.PointF,X1,63
203,2015,9,MeanDew.PointF,X1,62
204,2015,9,Min.DewpointF,X1,59
205,2015,9,Max.Humidity,X1,78
206,2015,9,Mean.Humidity,X1,65
207,2015,9,Min.Humidity,X1,52
208,2015,9,Max.Sea.Level.PressureIn,X1,30.06
209,2015,9,Mean.Sea.Level.PressureIn,X1,30.02
210,2015,9,Min.Sea.Level.PressureIn,X1,29.96
211,2015,9,Max.VisibilityMiles,X1,10
212,2015,9,Mean.VisibilityMiles,X1,10
213,2015,9,Min.VisibilityMiles,X1,10
214,2015,9,Max.Wind.SpeedMPH,X1,15
215,2015,9,Mean.Wind.SpeedMPH,X1,9
217,2015,9,PrecipitationIn,X1,0
218,2015,9,CloudCover,X1,1
219,2015,9,Events,X1,
220,2015,9,WindDirDegrees,X1,54
221,2015,10,Max.TemperatureF,X1,59
222,2015,10,Mean.TemperatureF,X1,57
223,2015,10,Min.TemperatureF,X1,54
224,2015,10,Max.Dew.PointF,X1,50
225,2015,10,MeanDew.PointF,X1,48
226,2015,10,Min.DewpointF,X1,45
227,2015,10,Max.Humidity,X1,77
228,2015,10,Mean.Humidity,X1,72
229,2015,10,Min.Humidity,X1,67
230,2015,10,Max.Sea.Level.PressureIn,X1,30.24
231,2015,10,Mean.Sea.Level.PressureIn,X1,30.13
232,2015,10,Min.Sea.Level.PressureIn,X1,29.97
233,2015,10,Max.VisibilityMiles,X1,10
234,2015,10,Mean.VisibilityMiles,X1,10
235,2015,10,Min.VisibilityMiles,X1,10
236,2015,10,Max.Wind.SpeedMPH,X1,30
237,2015,10,Mean.Wind.SpeedMPH,X1,17
238,2015,10,Max.Gust.SpeedMPH,X1,38
239,2015,10,PrecipitationIn,X1,T
240,2015,10,CloudCover,X1,7
241,2015,10,Events,X1,Rain
242,2015,10,WindDirDegrees,X1,22
243,2015,11,Max.TemperatureF,X1,62
244,2015,11,Mean.TemperatureF,X1,55
245,2015,11,Min.TemperatureF,X1,48
246,2015,11,Max.Dew.PointF,X1,50
247,2015,11,MeanDew.PointF,X1,46
248,2015,11,Min.DewpointF,X1,39
249,2015,11,Max.Humidity,X1,80
250,2015,11,Mean.Humidity,X1,73
251,2015,11,Min.Humidity,X1,65
252,2015,11,Max.Sea.Level.PressureIn,X1,30.07
253,2015,11,Mean.Sea.Level.PressureIn,X1,29.91
254,2015,11,Min.Sea.Level.PressureIn,X1,29.79
255,2015,11,Max.VisibilityMiles,X1,10
256,2015,11,Mean.VisibilityMiles,X1,10
257,2015,11,Min.VisibilityMiles,X1,10
258,2015,11,Max.Wind.SpeedMPH,X1,22
259,2015,11,Mean.Wind.SpeedMPH,X1,11
260,2015,11,Max.Gust.SpeedMPH,X1,28
261,2015,11,PrecipitationIn,X1,T
262,2015,11,CloudCover,X1,6
263,2015,11,Events,X1,Rain
264,2015,11,WindDirDegrees,X1,207
265,2015,12,Max.TemperatureF,X1,45
266,2015,12,Mean.TemperatureF,X1,39
267,2015,12,Min.TemperatureF,X1,32
268,2015,12,Max.Dew.PointF,X1,43
269,2015,12,MeanDew.PointF,X1,35
270,2015,12,Min.DewpointF,X1,25
271,2015,12,Max.Humidity,X1,96
272,2015,12,Mean.Humidity,X1,83
273,2015,12,Min.Humidity,X1,69
274,2015,12,Max.Sea.Level.PressureIn,X1,30.4
275,2015,12,Mean.Sea.Level.PressureIn,X1,30.24
276,2015,12,Min.Sea.Level.PressureIn,X1,30.01
277,2015,12,Max.VisibilityMiles,X1,10
278,2015,12,Mean.VisibilityMiles,X1,8
279,2015,12,Min.VisibilityMiles,X1,1
280,2015,12,Max.Wind.SpeedMPH,X1,15
281,2015,12,Mean.Wind.SpeedMPH,X1,6
282,2015,12,Max.Gust.SpeedMPH,X1,17
283,2015,12,PrecipitationIn,X1,0.14
284,2015,12,CloudCover,X1,7
285,2015,12,Events,X1,Rain
286,2015,12,WindDirDegrees,X1,109
1,2014,12,Max.TemperatureF,X2,42
2,2014,12,Mean.TemperatureF,X2,38
3,2014,12,Min.TemperatureF,X2,33
4,2014,12,Max.Dew.PointF,X2,40
5,2014,12,MeanDew.PointF,X2,27
6,2014,12,Min.DewpointF,X2,17
7,2014,12,Max.Humidity,X2,92
8,2014,12,Mean.Humidity,X2,72
9,2014,12,Min.Humidity,X2,51
10,2014,12,Max.Sea.Level.PressureIn,X2,30.71
11,2014,12,Mean.Sea.Level.PressureIn,X2,30.59
12,2014,12,Min.Sea.Level.PressureIn,X2,30.4
13,2014,12,Max.VisibilityMiles,X2,10
14,2014,12,Mean.VisibilityMiles,X2,8
15,2014,12,Min.VisibilityMiles,X2,2
16,2014,12,Max.Wind.SpeedMPH,X2,24
17,2014,12,Mean.Wind.SpeedMPH,X2,15
18,2014,12,Max.Gust.SpeedMPH,X2,29
19,2014,12,PrecipitationIn,X2,0.1
20,2014,12,CloudCover,X2,7
21,2014,12,Events,X2,Rain-Snow
22,2014,12,WindDirDegrees,X2,62
23,2015,1,Max.TemperatureF,X2,41
24,2015,1,Mean.TemperatureF,X2,36
25,2015,1,Min.TemperatureF,X2,31
26,2015,1,Max.Dew.PointF,X2,17
27,2015,1,MeanDew.PointF,X2,15
28,2015,1,Min.DewpointF,X2,11
29,2015,1,Max.Humidity,X2,53
30,2015,1,Mean.Humidity,X2,45
31,2015,1,Min.Humidity,X2,37
32,2015,1,Max.Sea.Level.PressureIn,X2,30.45
33,2015,1,Mean.Sea.Level.PressureIn,X2,30.13
34,2015,1,Min.Sea.Level.PressureIn,X2,29.95
35,2015,1,Max.VisibilityMiles,X2,10
36,2015,1,Mean.VisibilityMiles,X2,10
37,2015,1,Min.VisibilityMiles,X2,10
38,2015,1,Max.Wind.SpeedMPH,X2,26
39,2015,1,Mean.Wind.SpeedMPH,X2,13
40,2015,1,Max.Gust.SpeedMPH,X2,32
41,2015,1,PrecipitationIn,X2,0
42,2015,1,CloudCover,X2,3
43,2015,1,Events,X2,
44,2015,1,WindDirDegrees,X2,260
45,2015,2,Max.TemperatureF,X2,31
46,2015,2,Mean.TemperatureF,X2,21
47,2015,2,Min.TemperatureF,X2,10
48,2015,2,Max.Dew.PointF,X2,29
49,2015,2,MeanDew.PointF,X2,13
50,2015,2,Min.DewpointF,X2,-5
51,2015,2,Max.Humidity,X2,100
52,2015,2,Mean.Humidity,X2,67
53,2015,2,Min.Humidity,X2,34
54,2015,2,Max.Sea.Level.PressureIn,X2,30.12
55,2015,2,Mean.Sea.Level.PressureIn,X2,29.69
56,2015,2,Min.Sea.Level.PressureIn,X2,29.48
57,2015,2,Max.VisibilityMiles,X2,10
58,2015,2,Mean.VisibilityMiles,X2,2
59,2015,2,Min.VisibilityMiles,X2,0
60,2015,2,Max.Wind.SpeedMPH,X2,36
61,2015,2,Mean.Wind.SpeedMPH,X2,18
62,2015,2,Max.Gust.SpeedMPH,X2,45
63,2015,2,PrecipitationIn,X2,0.78
64,2015,2,CloudCover,X2,7
65,2015,2,Events,X2,Fog-Snow
66,2015,2,WindDirDegrees,X2,360
67,2015,3,Max.TemperatureF,X2,37
68,2015,3,Mean.TemperatureF,X2,32
69,2015,3,Min.TemperatureF,X2,26
70,2015,3,Max.Dew.PointF,X2,27
71,2015,3,MeanDew.PointF,X2,19
72,2015,3,Min.DewpointF,X2,7
73,2015,3,Max.Humidity,X2,92
74,2015,3,Mean.Humidity,X2,67
75,2015,3,Min.Humidity,X2,41
76,2015,3,Max.Sea.Level.PressureIn,X2,30.25
77,2015,3,Mean.Sea.Level.PressureIn,X2,30.03
78,2015,3,Min.Sea.Level.PressureIn,X2,29.93
79,2015,3,Max.VisibilityMiles,X2,10
80,2015,3,Mean.VisibilityMiles,X2,9
81,2015,3,Min.VisibilityMiles,X2,1
82,2015,3,Max.Wind.SpeedMPH,X2,30
83,2015,3,Mean.Wind.SpeedMPH,X2,14
84,2015,3,Max.Gust.SpeedMPH,X2,41
85,2015,3,PrecipitationIn,X2,0.01
86,2015,3,CloudCover,X2,6
87,2015,3,Events,X2,Rain-Snow
88,2015,3,WindDirDegrees,X2,280
89,2015,4,Max.TemperatureF,X2,61
90,2015,4,Mean.TemperatureF,X2,46
91,2015,4,Min.TemperatureF,X2,30
92,2015,4,Max.Dew.PointF,X2,37
93,2015,4,MeanDew.PointF,X2,20
94,2015,4,Min.DewpointF,X2,8
95,2015,4,Max.Humidity,X2,61
96,2015,4,Mean.Humidity,X2,44
97,2015,4,Min.Humidity,X2,27
98,2015,4,Max.Sea.Level.PressureIn,X2,30.25
99,2015,4,Mean.Sea.Level.PressureIn,X2,30.1
100,2015,4,Min.Sea.Level.PressureIn,X2,29.88
101,2015,4,Max.VisibilityMiles,X2,10
102,2015,4,Mean.VisibilityMiles,X2,10
103,2015,4,Min.VisibilityMiles,X2,10
104,2015,4,Max.Wind.SpeedMPH,X2,29
105,2015,4,Mean.Wind.SpeedMPH,X2,13
106,2015,4,Max.Gust.SpeedMPH,X2,37
107,2015,4,PrecipitationIn,X2,0
108,2015,4,CloudCover,X2,5
109,2015,4,Events,X2,
110,2015,4,WindDirDegrees,X2,223
111,2015,5,Max.TemperatureF,X2,50
112,2015,5,Mean.TemperatureF,X2,45
113,2015,5,Min.TemperatureF,X2,39
114,2015,5,Max.Dew.PointF,X2,43
115,2015,5,MeanDew.PointF,X2,40
116,2015,5,Min.DewpointF,X2,37
117,2015,5,Max.Humidity,X2,92
118,2015,5,Mean.Humidity,X2,82
119,2015,5,Min.Humidity,X2,71
120,2015,5,Max.Sea.Level.PressureIn,X2,30.04
121,2015,5,Mean.Sea.Level.PressureIn,X2,30
122,2015,5,Min.Sea.Level.PressureIn,X2,29.96
123,2015,5,Max.VisibilityMiles,X2,10
124,2015,5,Mean.VisibilityMiles,X2,10
125,2015,5,Min.VisibilityMiles,X2,10
126,2015,5,Max.Wind.SpeedMPH,X2,13
127,2015,5,Mean.Wind.SpeedMPH,X2,7
128,2015,5,Max.Gust.SpeedMPH,X2,16
129,2015,5,PrecipitationIn,X2,0
130,2015,5,CloudCover,X2,4
131,2015,5,Events,X2,
132,2015,5,WindDirDegrees,X2,103
133,2015,6,Max.TemperatureF,X2,49
134,2015,6,Mean.TemperatureF,X2,48
135,2015,6,Min.TemperatureF,X2,46
136,2015,6,Max.Dew.PointF,X2,46
137,2015,6,MeanDew.PointF,X2,45
138,2015,6,Min.DewpointF,X2,44
139,2015,6,Max.Humidity,X2,100
140,2015,6,Mean.Humidity,X2,93
141,2015,6,Min.Humidity,X2,86
142,2015,6,Max.Sea.Level.PressureIn,X2,30.22
143,2015,6,Mean.Sea.Level.PressureIn,X2,30.19
144,2015,6,Min.Sea.Level.PressureIn,X2,30.17
145,2015,6,Max.VisibilityMiles,X2,10
146,2015,6,Mean.VisibilityMiles,X2,7
147,2015,6,Min.VisibilityMiles,X2,2
148,2015,6,Max.Wind.SpeedMPH,X2,20
149,2015,6,Mean.Wind.SpeedMPH,X2,11
150,2015,6,Max.Gust.SpeedMPH,X2,26
151,2015,6,PrecipitationIn,X2,0.74
152,2015,6,CloudCover,X2,8
153,2015,6,Events,X2,Rain
154,2015,6,WindDirDegrees,X2,33
155,2015,7,Max.TemperatureF,X2,80
156,2015,7,Mean.TemperatureF,X2,72
157,2015,7,Min.TemperatureF,X2,64
158,2015,7,Max.Dew.PointF,X2,60
159,2015,7,MeanDew.PointF,X2,56
160,2015,7,Min.DewpointF,X2,54
161,2015,7,Max.Humidity,X2,78
162,2015,7,Mean.Humidity,X2,60
163,2015,7,Min.Humidity,X2,42
164,2015,7,Max.Sea.Level.PressureIn,X2,29.89
165,2015,7,Mean.Sea.Level.PressureIn,X2,29.86
166,2015,7,Min.Sea.Level.PressureIn,X2,29.81
167,2015,7,Max.VisibilityMiles,X2,10
168,2015,7,Mean.VisibilityMiles,X2,10
169,2015,7,Min.VisibilityMiles,X2,10
170,2015,7,Max.Wind.SpeedMPH,X2,16
171,2015,7,Mean.Wind.SpeedMPH,X2,9
172,2015,7,Max.Gust.SpeedMPH,X2,23
173,2015,7,PrecipitationIn,X2,0
174,2015,7,CloudCover,X2,4
175,2015,7,Events,X2,
176,2015,7,WindDirDegrees,X2,265
177,2015,8,Max.TemperatureF,X2,88
178,2015,8,Mean.TemperatureF,X2,78
179,2015,8,Min.TemperatureF,X2,68
180,2015,8,Max.Dew.PointF,X2,63
181,2015,8,MeanDew.PointF,X2,54
182,2015,8,Min.DewpointF,X2,51
183,2015,8,Max.Humidity,X2,73
184,2015,8,Mean.Humidity,X2,52
185,2015,8,Min.Humidity,X2,30
186,2015,8,Max.Sea.Level.PressureIn,X2,29.9
187,2015,8,Mean.Sea.Level.PressureIn,X2,29.86
188,2015,8,Min.Sea.Level.PressureIn,X2,29.82
189,2015,8,Max.VisibilityMiles,X2,10
190,2015,8,Mean.VisibilityMiles,X2,10
191,2015,8,Min.VisibilityMiles,X2,10
192,2015,8,Max.Wind.SpeedMPH,X2,20
193,2015,8,Mean.Wind.SpeedMPH,X2,11
194,2015,8,Max.Gust.SpeedMPH,X2,26
195,2015,8,PrecipitationIn,X2,0
196,2015,8,CloudCover,X2,1
197,2015,8,Events,X2,
198,2015,8,WindDirDegrees,X2,254
199,2015,9,Max.TemperatureF,X2,91
200,2015,9,Mean.TemperatureF,X2,79
201,2015,9,Min.TemperatureF,X2,66
202,2015,9,Max.Dew.PointF,X2,68
203,2015,9,MeanDew.PointF,X2,63
204,2015,9,Min.DewpointF,X2,59
205,2015,9,Max.Humidity,X2,87
206,2015,9,Mean.Humidity,X2,63
207,2015,9,Min.Humidity,X2,38
208,2015,9,Max.Sea.Level.PressureIn,X2,30.04
209,2015,9,Mean.Sea.Level.PressureIn,X2,29.94
210,2015,9,Min.Sea.Level.PressureIn,X2,29.85
211,2015,9,Max.VisibilityMiles,X2,10
212,2015,9,Mean.VisibilityMiles,X2,10
213,2015,9,Min.VisibilityMiles,X2,9
214,2015,9,Max.Wind.SpeedMPH,X2,15
215,2015,9,Mean.Wind.SpeedMPH,X2,9
216,2015,9,Max.Gust.SpeedMPH,X2,21
217,2015,9,PrecipitationIn,X2,0
218,2015,9,CloudCover,X2,0
219,2015,9,Events,X2,
220,2015,9,WindDirDegrees,X2,231
221,2015,10,Max.TemperatureF,X2,54
222,2015,10,Mean.TemperatureF,X2,52
223,2015,10,Min.TemperatureF,X2,50
224,2015,10,Max.Dew.PointF,X2,45
225,2015,10,MeanDew.PointF,X2,43
226,2015,10,Min.DewpointF,X2,40
227,2015,10,Max.Humidity,X2,80
228,2015,10,Mean.Humidity,X2,73
229,2015,10,Min.Humidity,X2,66
230,2015,10,Max.Sea.Level.PressureIn,X2,30.36
231,2015,10,Mean.Sea.Level.PressureIn,X2,30.28
232,2015,10,Min.Sea.Level.PressureIn,X2,30.22
233,2015,10,Max.VisibilityMiles,X2,10
234,2015,10,Mean.VisibilityMiles,X2,10
235,2015,10,Min.VisibilityMiles,X2,7
236,2015,10,Max.Wind.SpeedMPH,X2,25
237,2015,10,Mean.Wind.SpeedMPH,X2,20
238,2015,10,Max.Gust.SpeedMPH,X2,36
239,2015,10,PrecipitationIn,X2,0.08
240,2015,10,CloudCover,X2,8
241,2015,10,Events,X2,Rain
242,2015,10,WindDirDegrees,X2,28
243,2015,11,Max.TemperatureF,X2,64
244,2015,11,Mean.TemperatureF,X2,58
245,2015,11,Min.TemperatureF,X2,51
246,2015,11,Max.Dew.PointF,X2,48
247,2015,11,MeanDew.PointF,X2,42
248,2015,11,Min.DewpointF,X2,39
249,2015,11,Max.Humidity,X2,83
250,2015,11,Mean.Humidity,X2,63
251,2015,11,Min.Humidity,X2,43
252,2015,11,Max.Sea.Level.PressureIn,X2,30.11
253,2015,11,Mean.Sea.Level.PressureIn,X2,30.02
254,2015,11,Min.Sea.Level.PressureIn,X2,29.94
255,2015,11,Max.VisibilityMiles,X2,10
256,2015,11,Mean.VisibilityMiles,X2,10
257,2015,11,Min.VisibilityMiles,X2,10
258,2015,11,Max.Wind.SpeedMPH,X2,18
259,2015,11,Mean.Wind.SpeedMPH,X2,7
260,2015,11,Max.Gust.SpeedMPH,X2,23
261,2015,11,PrecipitationIn,X2,0
262,2015,11,CloudCover,X2,2
263,2015,11,Events,X2,
264,2015,11,WindDirDegrees,X2,251
1,2014,12,Max.TemperatureF,X3,51
2,2014,12,Mean.TemperatureF,X3,44
3,2014,12,Min.TemperatureF,X3,37
4,2014,12,Max.Dew.PointF,X3,49
5,2014,12,MeanDew.PointF,X3,42
6,2014,12,Min.DewpointF,X3,24
7,2014,12,Max.Humidity,X3,100
8,2014,12,Mean.Humidity,X3,79
9,2014,12,Min.Humidity,X3,57
10,2014,12,Max.Sea.Level.PressureIn,X3,30.4
11,2014,12,Mean.Sea.Level.PressureIn,X3,30.07
12,2014,12,Min.Sea.Level.PressureIn,X3,29.87
13,2014,12,Max.VisibilityMiles,X3,10
14,2014,12,Mean.VisibilityMiles,X3,5
15,2014,12,Min.VisibilityMiles,X3,1
16,2014,12,Max.Wind.SpeedMPH,X3,29
17,2014,12,Mean.Wind.SpeedMPH,X3,12
18,2014,12,Max.Gust.SpeedMPH,X3,38
19,2014,12,PrecipitationIn,X3,0.44
20,2014,12,CloudCover,X3,8
21,2014,12,Events,X3,Rain
22,2014,12,WindDirDegrees,X3,254
23,2015,1,Max.TemperatureF,X3,37
24,2015,1,Mean.TemperatureF,X3,30
25,2015,1,Min.TemperatureF,X3,22
26,2015,1,Max.Dew.PointF,X3,36
27,2015,1,MeanDew.PointF,X3,20
28,2015,1,Min.DewpointF,X3,8
29,2015,1,Max.Humidity,X3,100
30,2015,1,Mean.Humidity,X3,72
31,2015,1,Min.Humidity,X3,43
32,2015,1,Max.Sea.Level.PressureIn,X3,30.68
33,2015,1,Mean.Sea.Level.PressureIn,X3,30.54
34,2015,1,Min.Sea.Level.PressureIn,X3,30.24
35,2015,1,Max.VisibilityMiles,X3,10
36,2015,1,Mean.VisibilityMiles,X3,6
37,2015,1,Min.VisibilityMiles,X3,1
38,2015,1,Max.Wind.SpeedMPH,X3,22
39,2015,1,Mean.Wind.SpeedMPH,X3,10
40,2015,1,Max.Gust.SpeedMPH,X3,25
41,2015,1,PrecipitationIn,X3,0.62
42,2015,1,CloudCover,X3,7
43,2015,1,Events,X3,Rain-Snow
44,2015,1,WindDirDegrees,X3,81
45,2015,2,Max.TemperatureF,X3,22
